年份,中国,美国,日本
1991,2.37,6.8,2.06
1992,2.37,7.5,2.16
1993,2.69,6.9,2.54
1994,2.9,6.12,2.89
1995,3,5.65,3.15
1996,3.12,5.45,3.38
1997,3.23,5,3.37
1998,3.24,4.51,4.08
1999,3.25,4.22,4.68
2000,3.26,3.99,4.75
2001,3.8,4.73,5.02
2002,4.24,5.78,5.39
2003,4.58,5.99,5.25
2004,4.49,5.53,4.73
2005,4.52,5.08,4.45
2006,4.43,4.62,4.19
2007,4.35,4.62,3.89
2008,4.59,5.78,4.0
2009,4.72,9.25,5.07
2010,4.53,9.63,5.1
2011,4.55,8.95,4.55
2012,4.58,8.07,4.36
2013,4.6,7.38,4.04
2014,4.63,6.17,3.59
2015,4.65,5.28,3.38
2016,4.56,4.87,3.13
2017,4.47,4.36,2.82
2018,4.31,3.9,2.47
2019,4.56,3.67,2.35
2020,5,8.05,2.81
2021,4.55,5.35,2.81
2022,4.98,3.65,2.61
2023,4.67,3.64,2.6
2024,4.59,4.02,2.5
